Samples - Plot 0,Voltage (V) - Plot 0
708,0.0784424
709,0.0784712
710,0.0784322
711,0.0784646
712,0.0784537
713,0.0784398
714,0.078445
715,0.0784303
716,0.0784307
717,0.0784575
718,0.0784451
719,0.0784581
720,0.0784615
721,0.0784561
722,0.0784657
723,0.0784682
724,0.0784709
725,0.0784345
726,0.0784401
727,0.0784438
728,0.0784367
729,0.0784507
730,0.0784481
731,0.0784743
732,0.0784467
733,0.0784643
734,0.0784822
735,0.0784607
736,0.0784387
737,0.0784572
738,0.0784504
739,0.078459
740,0.0784294
741,0.0784513
742,0.0784689
743,0.0784516
744,0.078449
745,0.0784497
746,0.0784361
747,0.0784497
748,0.0784416
749,0.0784449
750,0.0784487
751,0.0784303
752,0.0784349
753,0.0784444
754,0.0784396
755,0.0784373
756,0.0784369
757,0.0784302
758,0.0784422
759,0.0784391
760,0.0784104
761,0.0784329
762,0.0784108
763,0.078407
764,0.0784488
765,0.0784161
766,0.0784349
767,0.0784308
768,0.0784173
769,0.0784245
770,0.0784191
771,0.0784067
772,0.0784166
773,0.0784164
774,0.0784055
775,0.0784276
776,0.0784183
777,0.0784236
778,0.078403
779,0.0784078
780,0.0784035
781,0.0784319
782,0.0784513
783,0.0784177
784,0.0784355
785,0.078411
786,0.0784216
787,0.0784293
788,0.0784185
789,0.0784129
790,0.0783964
791,0.0784366
792,0.0784261
793,0.0784403
794,0.0784183
795,0.0784255
796,0.0784306
797,0.0784238
798,0.0784424
799,0.0784188
800,0.0784384
801,0.0784239
802,0.0784435
803,0.07846
804,0.0784183
805,0.0784447
806,0.0784246
807,0.0784045
808,0.0784293
809,0.0784448
810,0.0784315
811,0.0784498
812,0.0784536
813,0.0784431
814,0.0784363
815,0.0784477
816,0.0784244
817,0.0784387
818,0.0784765
819,0.0784446
820,0.0784393
821,0.0784472
822,0.0784506
823,0.0784505
824,0.0784243
825,0.0784357
826,0.0784334
827,0.0784461
828,0.0784389
829,0.0784567
830,0.0784632
831,0.0784537
832,0.0784601
833,0.0784688
834,0.0784405
835,0.0784184
836,0.0784357
837,0.0784594
838,0.0784621
839,0.078439
840,0.078461
841,0.0784459
842,0.0784538
843,0.0784545
844,0.0784189
845,0.0784586
846,0.0784394
847,0.0784496
848,0.0784691
849,0.0784638
850,0.0784669
851,0.0784418
852,0.0784511
853,0.0784674
854,0.0784449
855,0.0784394
856,0.0784579
