Date,Open,High,Low,Close,Adj Close,Volume
2012-09-27,422.500000,424.000000,412.500000,415.100006,372.962982,879132
2012-09-28,419.975006,424.000000,417.125000,418.350006,375.883087,808528
2012-10-01,420.399994,421.250000,415.000000,417.274994,374.917206,649576
2012-10-03,417.174988,426.274994,416.774994,423.125000,380.173370,930678
2012-10-04,425.024994,429.250000,424.524994,426.375000,383.093414,729038
2012-10-05,428.100006,430.200012,421.500000,428.700012,385.182465,936680
2012-10-08,428.000000,428.000000,408.100006,409.350006,367.796600,1478004
2012-10-09,412.000000,413.450012,406.625000,407.700012,366.314117,929164
2012-10-10,406.000000,411.000000,403.625000,408.075012,366.651062,730132
2012-10-11,408.250000,410.899994,404.524994,409.750000,368.156067,733132
2012-10-12,410.500000,413.100006,407.875000,409.450012,367.886505,780166
2012-10-15,410.000000,414.850006,409.500000,411.600006,369.818237,1001842
2012-10-16,419.500000,420.000000,405.225006,406.625000,365.348267,2541902
2012-10-17,408.200012,408.450012,401.049988,402.700012,361.821716,1211738
2012-10-18,403.450012,408.000000,398.500000,405.475006,364.315033,1126774
2012-10-19,404.174988,404.975006,399.649994,401.600006,360.833374,1113532
2012-10-22,398.725006,407.924988,396.299988,407.325012,365.977203,727166
2012-10-23,407.500000,407.500000,402.750000,404.975006,363.865753,1272666
2012-10-25,405.825012,409.399994,403.125000,405.149994,364.023010,963936
2012-10-29,401.799988,407.100006,401.799988,405.600006,364.427368,778788
2012-10-30,404.799988,405.799988,399.700012,401.549988,360.788452,856990
2012-10-31,402.500000,403.500000,399.149994,402.625000,361.754333,503856
2012-11-01,396.950012,404.000000,394.549988,403.524994,362.562958,1062942
2012-11-02,405.575012,407.274994,401.625000,403.924988,362.922333,715258
2012-11-05,402.350006,404.000000,400.100006,402.524994,361.664429,353188
2012-11-06,402.000000,403.475006,398.100006,402.575012,361.709412,645614
2012-11-07,401.274994,402.975006,399.174988,400.225006,359.597900,909900
2012-11-08,397.125000,399.174988,395.125000,398.299988,357.868347,703184
2012-11-09,397.250000,401.774994,393.000000,394.299988,354.274353,1398656
2012-11-11,null,null,null,null,null,null
2012-11-12,392.674988,394.725006,389.375000,393.475006,353.533142,2880974
2012-11-15,394.450012,394.450012,388.600006,392.350006,352.522339,569086
2012-11-16,395.000000,396.375000,385.600006,387.725006,348.366852,611636
2012-11-19,388.000000,389.000000,381.125000,387.125000,347.827698,933674
2012-11-20,390.899994,390.899994,380.575012,382.225006,343.425140,653968
2012-11-21,383.899994,386.000000,380.500000,385.125000,346.030762,729928
2012-11-22,386.024994,386.500000,380.975006,383.125000,344.233734,475324
2012-11-23,383.424988,387.899994,383.399994,386.549988,347.311127,520126
2012-11-26,387.125000,389.750000,385.450012,386.700012,347.445862,390914
2012-11-27,388.600006,394.000000,387.000000,393.100006,353.196228,477552
2012-11-29,391.625000,401.500000,391.600006,398.250000,357.823425,603722
2012-11-30,398.450012,403.899994,395.274994,396.950012,356.655365,847824
2012-12-03,397.850006,403.500000,394.799988,401.850006,361.058014,598794
2012-12-04,402.649994,412.500000,402.649994,411.850006,370.042816,1124542
2012-12-05,414.000000,418.500000,410.250000,415.450012,373.277435,923900
2012-12-06,418.000000,422.000000,410.950012,420.825012,378.106812,778170
2012-12-07,420.000000,424.600006,415.000000,417.100006,374.759949,690908
2012-12-10,417.000000,419.024994,411.000000,413.725006,371.727570,481586
2012-12-11,415.500000,418.975006,407.625000,409.799988,368.200958,494134
2012-12-12,411.700012,416.899994,409.899994,416.075012,373.838959,573052
2012-12-13,416.299988,420.149994,415.049988,416.450012,374.175964,960638
2012-12-14,417.000000,423.000000,414.500000,419.600006,377.006195,737658
2012-12-17,417.399994,421.924988,415.524994,416.924988,374.602692,669962
2012-12-18,417.500000,419.549988,413.049988,415.475006,373.299896,437168
2012-12-19,417.700012,421.200012,417.125000,419.674988,377.073517,568458
2012-12-20,420.299988,420.500000,415.000000,418.524994,376.040283,623234
2012-12-21,416.549988,417.049988,410.250000,411.475006,369.705902,486340
2012-12-24,412.500000,413.500000,408.075012,410.000000,368.380707,524606
2012-12-26,410.774994,417.975006,410.774994,414.000000,371.974609,592212
2012-12-27,415.000000,415.850006,407.575012,409.024994,367.504639,612344
2012-12-28,411.500000,422.500000,411.000000,420.174988,377.522766,1097126
2012-12-31,420.750000,424.700012,418.274994,419.549988,376.961243,695254
2013-01-01,422.375000,423.000000,419.600006,420.325012,377.657593,669962
2013-01-02,422.500000,427.950012,421.500000,423.875000,380.847168,1019856
2013-01-03,424.174988,430.975006,422.500000,430.274994,386.597565,1207718
2013-01-04,430.299988,432.250000,426.850006,430.375000,386.687378,675988
2013-01-07,431.799988,435.350006,425.825012,427.575012,384.171661,604626
2013-01-08,427.500000,429.075012,424.000000,425.174988,382.015198,598900
2013-01-09,426.500000,429.575012,424.149994,425.774994,382.554321,482612
2013-01-10,428.024994,429.250000,423.524994,424.774994,381.655884,537726
2013-01-11,425.274994,426.850006,418.149994,419.625000,377.028595,497070
2013-01-14,419.000000,426.500000,419.000000,423.399994,380.420441,411770
2013-01-15,423.600006,425.725006,419.049988,422.924988,379.993622,741894
2013-01-16,423.700012,435.000000,423.024994,430.200012,386.530121,1426674
2013-01-17,431.225006,446.549988,430.225006,444.825012,399.670532,1762004
2013-01-18,447.075012,451.350006,442.649994,449.475006,403.848572,1568518
